,,,,,,,,,,,,
,,Training,,,,,,,,,,
,,ResNet18,ResNet50,ResNet101,DenseNet121,DenseNet169,DenseNet201,VGG11BN,VGG16BN,VGG19BN,,Bold = Best by Experiment
,Base,0.707229,0.812034,0.883382,0.733876,0.777941,0.835812,0.644767,0.656075,0.658844,,Underline = Best by Model
,"(500, 1, 0)",0.470711,0.127919,0.462373,0.48165,0.457857,0.472843,0.499164,0.46946,0.459317,,"Bold, Underline, Italics = Best Overall"
,"(500, 1, 0.5)",0,0.475725,0.473389,0.416573,0.498636,0.465937,0.512687,0.47865,0.482405,,
,"(700, 1, 0)",0.41535,0.47439,0.443569,0.502509,0.44314,0.511247,0.486578,0.485497,0.489477,,
,"(700, 1, 0.5)",0.020202,0.479973,0.48362,0.508486,0.062159,0.491883,0.452803,0.44209,0.468468,,
,Base+DB,0.631852,0.607781,0.604472,0.59478,0.602711,0.607857,0.610274,0.586806,0.607994,,
,"(500, 1, 0)+DB",0.498339,0.474506,0.512115,0.501454,0.475177,0.527632,0.467877,0,0.427017,,
,"(500, 1, 0.5)+DB",0.450973,0.48704,0.450273,0.494915,0.469402,0.403941,0.471981,0.516699,0.469638,,
,"(700, 1, 0)+DB",0.513257,0.414343,0.472959,0.497942,0.497937,0.511659,0.469206,0.377737,0.468903,,
,"(700, 1, 0.5)+DB",0.469136,0.499326,0.471248,0.462522,0.511045,0.508731,0.472906,0.431925,0.478511,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Validation,,,,,,,,,,
,,ResNet18,ResNet50,ResNet101,DenseNet121,DenseNet169,DenseNet201,VGG11BN,VGG16BN,VGG19BN,,
,Base,0.829384,0.913295,0.869565,0.852547,0.908163,0.939815,0.877108,0.900222,0.878453,,
,"(500, 1, 0)",0.58651,0.555891,0.537468,0.586907,0.628571,0.566038,0.569697,0.554572,0.569733,,
,"(500, 1, 0.5)",0.552707,0.550296,0.57346,0.568116,0.560694,0.587896,0.569697,0.561934,0.571429,,
,"(700, 1, 0)",0.48913,0.573964,0.579208,0.606516,0.581006,0.550964,0.571429,0.591549,0.561934,,
,"(700, 1, 0.5)",0.299625,0.587879,0.570588,0.578378,0.279412,0.564972,0.590799,0.584541,0.595642,,
,Base+DB,0.714667,0.657143,0.645892,0.676923,0.662757,0.712934,0.704142,0.650847,0.693548,,
,"(500, 1, 0)+DB",0.575064,0.559767,0.619048,0.564565,0.572193,0.60355,0.559611,0,0.591224,,
,"(500, 1, 0.5)+DB",0.564103,0.563953,0.613333,0.587537,0.584112,0.5953,0.557864,0.566929,0.551136,,
,"(700, 1, 0)+DB",0.549133,0.552941,0.580952,0.581522,0.581006,0.604396,0.595122,0.583133,0.587571,,
,"(700, 1, 0.5)+DB",0.557185,0.593968,0.567335,0.63285,0.625641,0.574924,0.605505,0.590164,0.564841,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Testing,,,,,,,,,,
,,ResNet18,ResNet50,ResNet101,DenseNet121,DenseNet169,DenseNet201,VGG11BN,VGG16BN,VGG19BN,,
,Base,0.395062,0.398366,0.383158,0.404235,0.359914,0.390688,0.426694,0.458788,0.359223,,
,"(500, 1, 0)",0.489749,0.489749,0.489749,0.524345,0.478936,0.488688,0.489749,0.489749,0.489749,,
,"(500, 1, 0.5)",0.489749,0.489749,0.529577,0.489143,0.497238,0.490308,0.489749,0.490352,0.489749,,
,"(700, 1, 0)",0.489749,0.489749,0.529577,0.509378,0.489192,0.477509,0.488584,0.529577,0.489749,,
,"(700, 1, 0.5)",0.283647,0.489749,0.489749,0.485393,0.24159,0.482993,0.529577,0.529577,0.529577,,
,Base+DB,0.51512,0.521028,0.515294,0.493317,0.515901,0.496368,0.492234,0.492234,0.492234,,
,"(500, 1, 0)+DB",0.529577,0.489749,0.529577,0.488532,0.515658,0.46934,0.529577,NaN,0.529577,,
,"(500, 1, 0.5)+DB",0.489749,0.489749,0.529577,0.483616,0.528015,0.524138,0.488636,0.488636,0.488636,,
,"(700, 1, 0)+DB",0.489749,0.489749,0.529577,0.5,0.497863,0.486425,0.527985,0.527985,0.527985,,
,"(700, 1, 0.5)+DB",0.489749,0.529577,0.489749,0.530233,0.524715,0.472564,0.529577,0.529577,0.529577,,
